adduser 3.118ubuntu5
adwaita-icon-theme 41.0-1ubuntu1
apt 2.4.14
apt-transport-https 2.4.14
base-files 12ubuntu4.7
base-passwd 3.5.52build1
bash 5.1-6ubuntu1.1
bc 1.07.1-3build1
bsdutils 1:2.37.2-4ubuntu3.4
ca-certificates 20240203~22.04.1
ca-certificates-java 20190909ubuntu1.2
chromium-browser 1:128.0.6613.137-0ubuntu0.22.04.1sav0
chromium-codecs-ffmpeg-extra 1:128.0.6613.137-0ubuntu0.22.04.1sav0
chrony 4.2-2ubuntu2
code-server 4.104.3
coreutils 8.32-4.1ubuntu1.2
cpp 4:11.2.0-1ubuntu1
cpp-11 11.4.0-1ubuntu1~22.04.2
curl 7.81.0-1ubuntu1.21
dash 0.5.11+git20210903+057cd650a4ed-3build1
dbus 1.12.20-2ubuntu4.1
dbus-x11 1.12.20-2ubuntu4.1
dconf-gsettings-backend 0.40.0-3ubuntu0.1
dconf-service 0.40.0-3ubuntu0.1
debconf 1.5.79ubuntu1
debianutils 5.5-1ubuntu2
default-jre 2:1.11-72build2
default-jre-headless 2:1.11-72build2
diffutils 1:3.8-0ubuntu2
dirmngr 2.2.27-3ubuntu2.4
dpkg 1.21.1ubuntu2.6
e2fsprogs 1.46.5-2ubuntu1.2
ffmpeg 7:4.4.2-0ubuntu0.22.04.1
file 1:5.41-3ubuntu0.1
findutils 4.8.0-1ubuntu3
fontconfig 2.13.1-4.2ubuntu5
fontconfig-config 2.13.1-4.2ubuntu5
fonts-droid-fallback 1:6.0.1r16-1.1build1
fonts-hosny-amiri 0.113-1
fonts-ipafont-gothic 00303-21ubuntu1
fonts-liberation 1:1.07.4-11
fonts-lohit-deva 2.95.4-4
fonts-lohit-gujr 2.92.4-4
fonts-lohit-taml 2.91.3-2
fonts-noto 20201225-1build1
fonts-noto-cjk 1:20220127+repack1-1
fonts-noto-cjk-extra 1:20220127+repack1-1
fonts-noto-color-emoji 2.047-0ubuntu0.22.04.1
fonts-noto-core 20201225-1build1
fonts-noto-extra 20201225-1build1
fonts-opensymbol 2:102.12+LibO7.3.7-0ubuntu0.22.04.10
fonts-sil-abyssinica 2.100-3
fonts-sil-padauk 5.000-3
fonts-sil-scheherazade 2.100-2.1build1
fonts-thai-tlwg 1:0.7.3-1
fonts-tlwg-garuda 1:0.7.3-1
fonts-tlwg-garuda-ttf 1:0.7.3-1
